               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097954,            0.079692,                   0,             0.00875,               0.525,            0.019375,           0.0045401,            0.085336,            0.076401,                   0,              0.0919,              0.0009,              0.0009
                   1,            0.089526,            0.086858,                   0,           0.0076667,               0.575,            0.016697,           0.0044739,            0.080419,            0.080948,                   0,            0.082881,           0.0018812,           0.0018812
                   2,            0.086512,            0.093326,                   0,           0.0086667,                0.65,            0.018632,           0.0054392,            0.077615,            0.083817,                   0,            0.073843,           0.0028426,           0.0028426
                   3,            0.077313,            0.099043,                   0,               0.012,                0.45,            0.058446,            0.018458,            0.075991,            0.084824,                   0,            0.064784,           0.0037842,           0.0037842
                   4,            0.070176,              0.1083,                   0,               0.009,               0.675,            0.045439,            0.013915,            0.074909,            0.085571,                   0,            0.055706,            0.004706,            0.004706
                   5,            0.064899,             0.10808,                   0,           0.0096667,               0.725,             0.15726,            0.049239,            0.073164,            0.086807,                   0,            0.046608,           0.0056079,           0.0056079
                   6,            0.058876,             0.11679,                   0,               0.014,               0.525,             0.16206,            0.036501,            0.071562,            0.087616,                   0,             0.03749,           0.0064901,           0.0064901
                   7,            0.055966,             0.11236,                   0,           0.0096667,               0.725,             0.31596,            0.084077,            0.069584,            0.088303,                   0,            0.028353,           0.0073525,           0.0073525
                   8,            0.057102,             0.11092,                   0,            0.013333,                 0.5,             0.22774,            0.063203,            0.064678,            0.091202,                   0,            0.019195,           0.0081951,           0.0081951
                   9,            0.057776,             0.10305,                   0,             0.21364,                0.45,             0.29597,             0.10714,            0.055808,            0.094482,                   0,            0.010018,           0.0090179,           0.0090179
                  10,            0.056496,            0.095652,                   0,             0.67473,               0.225,             0.32984,              0.1122,            0.052964,            0.092133,                   0,             0.00901,             0.00901,             0.00901
                  11,            0.057119,            0.094935,                   0,             0.55651,                0.55,             0.57573,             0.18815,             0.04967,             0.07785,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.055529,            0.084755,                   0,             0.46403,             0.60612,             0.52813,             0.16303,            0.051799,            0.073227,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.053765,            0.081009,                   0,             0.25837,               0.525,             0.28164,            0.099487,             0.05375,            0.069458,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.054559,            0.082579,                   0,             0.32664,                0.45,              0.3154,            0.093344,            0.056057,            0.065521,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.053116,            0.082268,                   0,             0.40476,             0.71408,             0.46902,              0.1582,            0.049397,            0.068863,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.05118,            0.077226,                   0,             0.48341,                 0.7,             0.52453,             0.20402,            0.045677,            0.068649,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.048228,            0.077649,                   0,             0.45492,               0.675,             0.50379,             0.14609,            0.055612,            0.071259,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.048276,             0.07421,                   0,             0.40238,               0.775,             0.40619,             0.10706,            0.058585,            0.090042,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.04835,            0.070692,                   0,             0.84095,             0.79326,             0.84327,             0.35279,            0.045675,            0.079178,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.046651,            0.072136,                   0,             0.72814,                 0.8,              0.8114,             0.27411,            0.052308,            0.087524,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.045919,            0.069685,                   0,             0.79178,             0.76067,             0.84927,             0.39612,            0.040856,            0.072205,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.042984,            0.068569,                   0,             0.70817,             0.72808,             0.74642,             0.31852,            0.045426,            0.078705,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.043426,            0.068757,                   0,             0.80648,             0.83363,             0.89066,             0.45538,            0.038489,            0.058578,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.040043,            0.068389,                   0,             0.91095,                 0.9,             0.92468,             0.54496,            0.034896,            0.054733,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.040016,            0.064204,                   0,             0.90171,             0.91757,             0.93573,             0.50447,            0.035312,            0.053307,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.034972,            0.069411,                   0,              0.8585,             0.91024,             0.91797,             0.51449,            0.032861,            0.055145,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.039974,             0.06082,                   0,             0.97324,             0.90924,             0.97681,              0.5136,            0.036601,            0.050125,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.038754,            0.060947,                   0,             0.99924,               0.925,             0.95475,             0.54075,            0.035147,            0.047028,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.038849,            0.057973,                   0,             0.94326,             0.83138,             0.92253,              0.5812,            0.033879,             0.04966,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.036332,            0.058425,                   0,             0.90695,               0.875,             0.93965,             0.56372,            0.032106,            0.049805,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.035222,             0.06009,                   0,             0.86397,               0.925,             0.91235,             0.45068,            0.038253,            0.047707,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.036632,            0.060173,                   0,             0.97207,             0.87007,             0.95891,             0.56528,            0.031908,             0.04673,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.035714,            0.057963,                   0,             0.92014,               0.925,             0.96811,             0.61537,            0.030604,            0.046173,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.033331,            0.058273,                   0,             0.91868,               0.925,             0.95264,             0.54427,            0.033567,            0.044456,                   0,            0.006733,            0.006733,            0.006733
                  35,             0.03489,            0.055014,                   0,             0.92411,             0.91342,             0.94944,             0.57123,            0.031421,            0.045456,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.034864,            0.055186,                   0,             0.92371,              0.9082,             0.94589,             0.49699,             0.03298,             0.04538,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.033556,            0.053018,                   0,             0.91817,                 0.9,             0.95471,             0.60086,            0.030479,            0.048317,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.029984,            0.053461,                   0,             0.92326,               0.925,             0.95756,             0.55398,            0.033103,            0.046196,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.032451,            0.050716,                   0,             0.97275,             0.89257,             0.95349,             0.62622,            0.030678,             0.04438,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.033227,             0.05093,                   0,             0.97273,             0.89195,             0.96004,             0.60042,            0.028901,            0.043907,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.032993,            0.052424,                   0,             0.89577,               0.875,             0.92797,             0.45955,            0.039114,            0.042824,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.032535,            0.047957,                   0,             0.97195,             0.86638,             0.95065,             0.54994,            0.034211,            0.043243,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.031063,            0.048551,                   0,             0.94185,               0.875,             0.95206,             0.56638,            0.031339,            0.045586,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.032583,            0.048328,                   0,             0.97207,             0.87015,              0.9616,             0.56895,             0.03027,             0.04425,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.032532,            0.050893,                   0,             0.91435,               0.875,             0.95084,             0.62283,             0.02891,            0.043861,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.029534,            0.051178,                   0,             0.94207,                 0.9,             0.95825,             0.59642,            0.030922,            0.041763,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.029464,            0.050302,                   0,             0.92042,                 0.9,             0.96257,             0.64141,            0.026017,            0.042076,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.029224,            0.044885,                   0,             0.91885,                 0.9,             0.96061,              0.6468,            0.027187,            0.042229,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.026446,            0.049053,                   0,              0.9208,                 0.9,             0.94524,             0.65233,            0.026358,            0.042465,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.026579,            0.046711,                   0,             0.91716,                 0.9,             0.95606,             0.64543,            0.028368,             0.04258,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.027895,            0.049096,                   0,             0.96157,                 0.9,             0.96316,             0.64114,            0.026441,            0.040527,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.029447,            0.046702,                   0,             0.92457,             0.91945,             0.96303,             0.60891,            0.027499,            0.041641,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.027777,            0.048804,                   0,             0.92427,             0.91548,             0.95127,             0.63803,            0.028629,            0.041237,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.027748,            0.047364,                   0,             0.97157,                 0.9,             0.95671,             0.61356,            0.029252,            0.040367,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.027725,            0.046486,                   0,              0.9476,             0.90421,             0.95847,             0.67263,            0.025807,            0.041016,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.026665,            0.044498,                   0,             0.96407,               0.925,             0.95328,              0.6568,            0.025633,            0.040497,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.027329,            0.044664,                   0,             0.97295,             0.89928,             0.96393,             0.70677,            0.023544,            0.040092,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.025324,            0.044805,                   0,             0.96804,                 0.9,             0.96716,             0.63494,            0.026619,            0.040375,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.025442,            0.046038,                   0,             0.95091,               0.875,             0.96157,             0.66856,            0.024556,            0.040199,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.026255,            0.044981,                   0,             0.93688,                 0.9,             0.96326,             0.66858,            0.024205,            0.039261,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.024901,            0.040982,                   0,             0.90423,             0.94426,             0.96628,             0.66948,            0.024426,            0.040367,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.024536,            0.043844,                   0,             0.92209,               0.925,             0.96685,             0.68148,            0.024331,            0.039574,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.024106,            0.042882,                   0,             0.92474,             0.92156,             0.96026,             0.65524,            0.024939,            0.040962,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.024299,            0.044874,                   0,             0.90425,             0.94447,             0.95132,             0.67775,            0.024489,            0.040779,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.023543,            0.044399,                   0,             0.92463,             0.92018,             0.95294,             0.69844,            0.024124,            0.040573,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.024183,            0.042488,                   0,             0.97213,               0.875,             0.95335,             0.67533,            0.024381,            0.040939,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.02357,            0.042282,                   0,             0.97296,             0.89962,             0.95298,             0.71694,            0.023144,            0.041107,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.02381,            0.041589,                   0,             0.96785,               0.875,             0.95903,             0.68441,            0.024327,            0.041733,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.023236,            0.042184,                   0,             0.97288,               0.897,             0.94551,             0.68257,            0.025171,             0.04155,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.023102,            0.040563,                   0,             0.94846,             0.92016,             0.93674,             0.66604,            0.025357,            0.042213,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.021151,            0.041602,                   0,             0.94843,              0.9196,             0.97152,              0.6565,            0.025861,            0.044235,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.022343,            0.041931,                   0,             0.97355,             0.92017,             0.96889,              0.6889,            0.023745,             0.04129,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.023134,            0.040811,                   0,             0.97276,               0.925,             0.97006,             0.71846,            0.022576,            0.041451,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.021282,            0.039116,                   0,             0.97361,             0.92251,             0.96741,             0.68645,            0.025072,            0.041779,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.020684,            0.039051,                   0,             0.94401,               0.925,             0.96518,             0.70408,            0.022494,            0.041351,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.022421,            0.042939,                   0,              0.9487,             0.92476,              0.9614,             0.71728,             0.02186,            0.041069,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.02143,             0.03991,                   0,             0.94864,             0.92346,             0.95875,              0.7064,            0.022709,            0.041481,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.02045,            0.042269,                   0,             0.94852,             0.92135,             0.96071,             0.70529,            0.021997,            0.041641,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.020905,            0.039749,                   0,             0.94852,             0.92134,             0.95916,             0.69827,            0.023289,            0.040337,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.021683,            0.040257,                   0,              0.9734,             0.91506,             0.96077,             0.69703,            0.023534,            0.041016,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.020549,            0.039608,                   0,             0.97292,              0.8982,             0.95984,             0.68046,            0.023613,            0.040878,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.020542,            0.038033,                   0,             0.97274,             0.89241,             0.96031,             0.68878,            0.023526,            0.041756,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.020097,            0.039819,                   0,             0.97284,             0.89564,              0.9591,             0.70817,            0.022829,            0.040833,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.019984,            0.038377,                   0,             0.97285,             0.89594,             0.95674,             0.69825,            0.023531,            0.040764,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.020389,             0.04002,                   0,              0.9237,               0.925,              0.9535,             0.70222,            0.022911,             0.03994,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.020306,            0.040115,                   0,             0.92404,               0.925,             0.95656,             0.69748,            0.023039,            0.040825,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.019374,            0.039805,                   0,             0.92397,               0.925,             0.95645,             0.71899,            0.021657,            0.039375,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.019764,            0.039036,                   0,             0.92488,             0.92339,             0.96153,             0.71599,            0.021512,            0.040024,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.019831,             0.03813,                   0,             0.92464,             0.92038,             0.96197,             0.72347,            0.021512,            0.039688,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.019312,            0.038768,                   0,             0.92488,             0.92343,             0.96492,              0.7012,            0.022075,             0.04097,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.019542,            0.038541,                   0,              0.9246,             0.91974,             0.96516,             0.72667,            0.021634,            0.040085,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.01931,            0.036449,                   0,             0.97274,             0.89221,              0.9665,             0.73972,            0.021089,            0.038956,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.019534,            0.037004,                   0,             0.94384,                 0.9,              0.9677,             0.72548,            0.021273,            0.039436,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.018895,            0.037932,                   0,             0.94485,                 0.9,             0.96174,             0.72178,            0.021201,            0.040115,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.018319,            0.038104,                   0,             0.92141,               0.925,             0.95994,             0.72133,            0.021331,            0.040733,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.018705,            0.037024,                   0,             0.92145,               0.925,             0.95842,             0.72192,            0.021431,            0.040718,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.018104,             0.03596,                   0,             0.92146,               0.925,             0.95621,             0.72217,            0.021044,            0.040367,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.018754,            0.036916,                   0,             0.92244,               0.925,             0.95753,             0.71416,            0.021125,            0.040047,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.018519,            0.036948,                   0,             0.92259,               0.925,             0.95795,             0.71777,            0.021437,            0.040215,                   0,            0.000298,            0.000298,            0.000298
